Salinity_E,Salinity_W,O2_E,O2_W,Watertemp_E,Watertemp_W,SS_E,SS_W,chla_E,chla_W,SRP_E,SRP_W,DOP_E,DOP_W,TP_E,TP_W,NH4N_E,NH4N_W,NO3N_E,NO3N_W,DON_E,DON_W,TN_E,TN_W,TOC_E,TOC_W,DOC_E,DOC_W,Windspeed_E,Windspeed_W,Depth_E,Depth_W
3.1,3.3,10.08,10.71,17.1,17.1,70,102.5,26.21,131.06,9.7,21.7,11.4,1.8,174.6,158.1,0.101,0.02,0.056,0.024,0.222,0.365,1.182,1.115,14.19,16.3194,7.55,6.8912,4,4.5,3.2,3.4
2.8,3.7,10.98,10,17.5,20.4,72.5,71.3,29.49,62.25,14.6,10.9,81.6,1.5,132.6,221.5,0.027,0.053,0.038,0.07,0.179,0.613,0.846,1.513,14.44,17.273,7.3,8.268,5.4,3.5,3.5,3.5
2.8,3.4,11.15,9.68,17.9,20.5,177.5,81.3,36.04,32.76,17.3,7,55.9,23.7,129.8,209.9,0.046,0.025,0.04,0.04,0.477,0.616,1.154,1.083,16.6,15.5595,6.99,8.064,6.2,3,2.7,2.9
3,1.8,10.23,10.35,17,20.2,146.25,65,32.76,3.28,10.1,18.2,28.6,12.4,180.8,188.5,0.033,0.014,0.037,0.057,0.508,0.578,0.952,1.263,14.41,16.445,7.11,8.592,5.9,6,3.4,2.9
3.1,3.3,10.81,9.68,16.8,20.4,105,70,26.21,9.83,10.8,13,28.8,9,130.4,180.9,0.028,0.024,0.032,0.034,0.397,0.67,0.567,1.342,13.7,15.16,6.96,7.93,5.8,5,3.5,3.3
3.1,3.2,10.48,9.31,16.9,19.7,150,193.8,29.49,52.42,15.8,4,58.8,34.2,111.1,245.4,0.024,0.015,0.024,0.05,0.36,0.649,1.202,1.915,14.34,16.768,6.81,8.346,5,8,3.5,1.8
2.6,3.6,10.8,9.54,17.1,20.4,117.5,93.8,36.04,42.59,24.7,8.2,58.6,6.2,104.2,206.1,0.1,0.013,0.045,0.065,0.178,0.51,1.038,1.471,15.26,17.024,7.78,7.891,7.9,5,3.6,3.6
2.4,3.1,10.92,9.36,17,20.3,122.5,80,32.76,70.99,17.4,1.6,12.1,17.6,108,154.5,0.085,0.019,0.039,0.018,0.305,0.757,0.73,1.761,15.33,16.26,7.55,8.28,7.5,9,3.4,3
2.2,2.3,10.8,9.3,17,19.8,110,80,42.59,92.83,12,41.8,20.6,59.6,151,229.7,0.104,0.011,0.043,0.023,0.388,0.77,0.794,1.951,15.66,19.236,7.21,9.6,5,5,2.3,2.4
3.6,2.5,10.22,8.49,17.1,20,106.25,103.75,21.84,92.83,19,4.4,10.7,41.2,145.8,219.9,0.016,0.018,0.016,0.023,0.587,0.85,0.903,2.12,16.57,18.84,6.94,9.144,3,10,3.4,2
3.3,3.2,10.28,8.5,16.8,20.1,122.5,71.25,48.05,141.98,14.4,11.7,15.2,14.1,178.9,172.5,0.015,0.013,0.016,0.029,0.67,0.652,1.142,1.563,16,17.424,6.6,7.692,5,6.5,3.4,1.7
1.9,3.3,9.94,9.94,16.3,20.3,128.75,88.75,8.74,81.91,14.9,6.5,1.4,43.7,183.1,130.4,0.014,0.011,0.027,0.027,0.659,0.756,1.273,1.565,19.9774,17.112,7.5874,7.56,6,9,3,3.4
3.1,4.3,10.1,9.79,16.8,16.4,161.25,113.75,170.37,57.34,16.6,18.1,13.8,5.2,209,173.3,0.023,0.048,0.027,0.018,0.502,0.519,1.693,1.622,19.2104,19.708,7.2098,7.41,4,6.7,3.4,3.2
3.5,3.9,10.16,9.8,16.3,16.4,143.75,112.5,69.9,49.15,21.9,26.1,9.4,4.6,184.1,174.1,0.026,0.037,0.027,0.029,0.473,0.706,1.392,1.705,18.3018,18.421,7.08,8.099,3.5,7.6,3.2,2.6
3.3,3.3,9.99,9.82,16.4,16.1,123.75,93.75,48.05,36.86,33.3,21.7,11.3,36.8,155.9,183.5,0.048,0.035,0.026,0.026,0.652,0.877,1.267,1.909,17.9478,20.67,6.903,8.619,5,8.2,3.4,2.4
2.8,3.1,10.12,10.58,16,16.1,166.25,103.75,30.58,57.34,22,50.2,25.5,19.2,218.6,205.5,0.032,0.032,0.029,0.029,0.57,0.835,1.033,1.878,19.883,19.0965,7.08,8.2215,6,11,3,1.8
2.3,4.2,10.18,9.9,15.8,16.3,170,111.25,69.9,57.34,21.1,14.3,8.9,5.6,173.3,161,0.066,0.033,0.032,0.05,0.522,0.698,1.48,1.924,21.5704,19.082,7.375,7.25,7,7.9,3.3,3.3
1.6,,10.11,,16.1,,217.5,,91.74,,22.8,,11.9,,123.7,,0.029,,0.027,,0.651,,0.883,,24.426,,8.024,,7.5,,2,
3.2,,9.04,,20.1,,90,,9.83,,5.1,,8.2,,212.9,,0.013,,0.06,,0.561,,1.62,,17.2,,8.064,,6,,3.7,
3.3,,9.66,,20.3,,58.8,,16.38,,9.2,,12.5,,168.4,,0.016,,0.039,,0.577,,1.067,,14.48,,8.1,,4,,3.7,
3.3,,9.35,,20.1,,102.5,,13.11,,7,,63.8,,158.7,,0.012,,0.047,,0.539,,1.756,,17.0624,,7.592,,6,,3.3,
3.2,,9.14,,20.2,,127.5,,16.38,,9.7,,83.6,,182,,0.02,,0.129,,0.564,,1.675,,15.616,,7.8,,7,,3.5,
3.3,,9.15,,20.1,,101.3,,36.04,,11.1,,18.4,,293.1,,0.024,,0.056,,0.69,,1.969,,16.064,,7.982,,7,,3.5,
3.7,,8.84,,20.2,,112.5,,26.21,,2.2,,57.8,,214.5,,0.016,,0.06,,0.525,,1.551,,16.064,,8.125,,7.5,,3.2,
3.7,,8.63,,19.8,,125,,16.38,,6.8,,4.6,,206.7,,0.013,,0.072,,0.456,,1.951,,15.872,,8.58,,7,,3.5,
3.5,,9.15,,19.4,,170,,22.94,,3.3,,69.1,,266.9,,0.02,,0.049,,0.488,,1.898,,19,,8.073,,7,,2.2,
3.7,,9.15,,20.6,,61.25,,70.99,,16.5,,35.6,,144.5,,0.026,,0.019,,0.512,,1.517,,16.44,,8.532,,6,,3.5,
3.5,,9.03,,20.1,,67.5,,81.91,,9.2,,33.1,,158.3,,0.027,,0.015,,0.643,,1.468,,18.264,,8.28,,8.5,,3.9,
3.6,,9.34,,20.4,,70,,65.53,,14.6,,10.6,,138,,0.018,,0.009,,0.547,,1.37,,17.688,,7.5,,11,,2.9,
3.2,,9.63,,20.3,,66.25,,54.61,,10.5,,20.7,,176,,0.019,,0.024,,0.588,,1.411,,15.324,,7.572,,6.5,,3,
3.8,,8.91,,20.5,,76.25,,76.45,,5.5,,15.4,,168.9,,0.014,,0.021,,0.541,,1.471,,16.092,,7.584,,6,,3.5,
3.4,,8.98,,20.3,,76.25,,54.61,,14.4,,13.2,,161.6,,0.017,,0.038,,0.526,,1.388,,17.976,,7.62,,10,,3.1,
3.7,,8.42,,20.5,,92.5,,125.6,,8.2,,12.1,,186.1,,0.024,,0.024,,0.553,,1.597,,19.14,,7.764,,10,,2.8,
3.2,,8.47,,20.1,,92.5,,65.53,,1.4,,20.8,,203.9,,0.026,,0.032,,0.682,,1.588,,17.364,,8.004,,7,,2.9,
3.1,,8.49,,19.8,,82.5,,81.91,,8.9,,9.3,,241,,0.021,,0.038,,0.562,,1.724,,16.656,,8.136,,6,,2.2,
4.4,,9.96,,16.2,,98.75,,42.59,,23.3,,7,,167,,0.058,,0.015,,0.248,,1.428,,18.408,,7.8,,7.7,,3.4,
4.3,,9.86,,16.4,,95,,45.05,,24.2,,12.5,,207.1,,0.06,,0.02,,0.276,,1.624,,17.121,,7.332,,7.3,,3.4,
3.7,,9.86,,16.2,,112.5,,49.15,,9.7,,21.4,,217.4,,0.04,,0.052,,0.838,,1.556,,21.3005,,7.6705,,7,,3.1,
4.5,,9.93,,16.3,,117.5,,36.86,,23.9,,30.3,,245.7,,0.033,,0.029,,0.406,,1.649,,20.0825,,7.018,,8.5,,3.2,
4.6,,10.02,,16.2,,115,,40.96,,31.4,,32.4,,101.6,,0.024,,0.024,,0.549,,1.073,,18.502,,7.0905,,10.2,,3.3,
4.5,,9.93,,16.3,,113.75,,40.96,,7.1,,20.6,,250.9,,0.021,,0.032,,0.482,,1.347,,18.821,,7.0615,,9.5,,3.4,
4.2,,10.3,,16,,102.5,,49.15,,19.5,,58.8,,175.4,,0.027,,0.048,,0.572,,1.027,,19.546,,7.105,,10.5,,3.3,
4.1,,10.1,,16,,120,,61.43,,14.9,,9,,259.5,,0.034,,0.028,,0.682,,1.432,,20.2565,,7.2065,,11.5,,2.2,
