Salinity_E,,O2_E,Watertemp_E,SS_E,chla_E,SRP_E,DOP_E,TP_E,NH4N_E,NO3N_E,DON_E,TN_E,TOC_E,DOC_E,Windspeed_E,Depth_E
3.54,,12.89,20.6,64.29,81.91,21.1,9,277.7,0.03,0.05,0.755,1.773,23.27,8.85,0.2,1.5
3.25,,11.51,20.1,75.71,102.39,41.8,27.7,220.4,0.03,0.027,0.534,1.867,23.94,9.46,3,2.7
4.42,,9.88,12.5,94,62.25,14.4,6.4,193.3,0.052,0.048,0.291,1.502,16.23,8.13,4,3.2
4.42,,10.1,12.6,90,70.99,10.8,15.8,224.2,0.042,0.039,0.764,1.424,17.27,8.31,3.5,3.4
4.42,,10.43,12.3,94,49.15,10.6,7.5,218.3,0.036,0.034,0.409,1.394,15.59,7.51,3,2.7
4.42,,10.02,12.4,80,60.07,8.9,2,167.5,0.032,0.032,0.603,1.404,18.24,8.47,2.5,3
4.42,,9.7,12.6,94,87.37,28.5,0.699999999999999,168.4,0.037,0.038,0.685,1.621,19.24,9.22,5,3.2
3.96,,9.68,12.6,104,65.53,8.2,36.3,163,0.044,0.035,0.555,1.449,18.23,8.5,6.5,3.5
4.08,,9.37,12.6,104,92.83,38.5,40.9,270.9,0.024,0.061,0.783,1.876,25.04,10.63,6,3.5
4.42,,10.05,12.2,88,87.37,33.6,2.5,230.8,0.026,0.053,0.752,1.735,23.37,10.38,5,3.4
4.42,,9.93,12.3,124,81.91,26.5,13.9,266.9,0.035,0.048,0.762,1.895,24.69,10.35,4,2.2
2.7,,11.23,10.8,31,26.21,2.4,8.2,61.3,0.03,0.009,0.572,0.853,10.98,6.8,5,3.5
2.4,,12.25,10.9,32,39.32,9.8,0.799999999999999,123.7,0.036,0.023,0.553,0.707,12.03,7.03,6,3.5
2.7,,12.81,11.5,34,37.68,8.7,2.2,119.3,0.021,0.038,0.481,1.042,11.676,7.0035,5,2.7
2.7,,12.42,11.4,33,36.04,4.9,7.1,73.2,0.023,0.022,0.423,0.927,10.6995,6.4575,4,3.2
2.4,,11.22,10.8,32,22.94,1.3,9.6,91.1,0.019,0.019,0.501,0.608,11.067,7.1505,4,3.4
2.4,,12.11,10.9,29,32.76,4.5,9.3,91.6,0.028,0.027,0.575,1.028,13.0305,7.5075,5,3.5
2.4,,12.07,10.9,34,42.59,1.9,21.1,91.1,0.016,0.038,0.551,1.058,12.348,7.161,2,3.4
2.4,,11.5,10.8,37,47.51,10.5,4.1,84.6,0.019,0.036,0.48,0.719,12.1275,7.2345,2,3.4
2.2,,11.45,10.6,32,32.76,2.1,34.3,74.5,0.026,0.032,0.48,0.972,12.558,7.644,3,2.1
3.1,,10.08,17.1,70,26.21,9.7,11.4,174.6,0.101,0.056,0.222,1.182,14.19,7.55,4,3.2
2.8,,10.98,17.5,72.5,29.49,14.6,81.6,132.6,0.027,0.038,0.179,0.846,14.44,7.3,5.4,3.5
2.8,,11.15,17.9,177.5,36.04,17.3,55.9,129.8,0.046,0.04,0.477,1.154,16.6,6.99,6.2,2.7
3,,10.23,17,146.25,32.76,10.1,28.6,180.8,0.033,0.037,0.508,0.952,14.41,7.11,5.9,3.4
3.1,,10.81,16.8,105,26.21,10.8,28.8,130.4,0.028,0.032,0.397,0.567,13.7,6.96,5.8,3.5
3.1,,10.48,16.9,150,29.49,15.8,58.8,111.1,0.024,0.024,0.36,1.202,14.34,6.81,5,3.5
2.6,,10.8,17.1,117.5,36.04,24.7,58.6,104.2,0.1,0.045,0.178,1.038,15.26,7.78,7.9,3.6
2.4,,10.92,17,122.5,32.76,17.4,12.1,108,0.085,0.039,0.305,0.73,15.33,7.55,7.5,3.4
2.2,,10.8,17,110,42.59,12,20.6,151,0.104,0.043,0.388,0.794,15.66,7.21,5,2.3
3.6,,10.22,17.1,106.25,21.84,19,10.7,145.8,0.016,0.016,0.587,0.903,16.57,6.94,3,3.4
3.3,,10.28,16.8,122.5,48.05,14.4,15.2,178.9,0.015,0.016,0.67,1.142,16,6.6,5,3.4
1.9,,9.94,16.3,128.75,8.74,14.9,1.4,183.1,0.014,0.027,0.659,1.273,19.9774,7.5874,6,3
3.1,,10.1,16.8,161.25,170.37,16.6,13.8,209,0.023,0.027,0.502,1.693,19.2104,7.2098,4,3.4
3.5,,10.16,16.3,143.75,69.9,21.9,9.4,184.1,0.026,0.027,0.473,1.392,18.3018,7.08,3.5,3.2
3.3,,9.99,16.4,123.75,48.05,33.3,11.3,155.9,0.048,0.026,0.652,1.267,17.9478,6.903,5,3.4
2.8,,10.12,16,166.25,30.58,22,25.5,218.6,0.032,0.029,0.57,1.033,19.883,7.08,6,3
2.3,,10.18,15.8,170,69.9,21.1,8.9,173.3,0.066,0.032,0.522,1.48,21.5704,7.375,7,3.3
1.6,,10.11,16.1,217.5,91.74,22.8,11.9,123.7,0.029,0.027,0.651,0.883,24.426,8.024,7.5,2
3.2,,9.04,20.1,90,9.83,5.1,8.2,212.9,0.013,0.06,0.561,1.62,17.2,8.064,6,3.7
3.3,,9.66,20.3,58.8,16.38,9.2,12.5,168.4,0.016,0.039,0.577,1.067,14.48,8.1,4,3.7
3.3,,9.35,20.1,102.5,13.11,7,63.8,158.7,0.012,0.047,0.539,1.756,17.0624,7.592,6,3.3
3.2,,9.14,20.2,127.5,16.38,9.7,83.6,182,0.02,0.129,0.564,1.675,15.616,7.8,7,3.5
3.3,,9.15,20.1,101.3,36.04,11.1,18.4,293.1,0.024,0.056,0.69,1.969,16.064,7.982,7,3.5
3.7,,8.84,20.2,112.5,26.21,2.2,57.8,214.5,0.016,0.06,0.525,1.551,16.064,8.125,7.5,3.2
3.7,,8.63,19.8,125,16.38,6.8,4.6,206.7,0.013,0.072,0.456,1.951,15.872,8.58,7,3.5
3.5,,9.15,19.4,170,22.94,3.3,69.1,266.9,0.02,0.049,0.488,1.898,19,8.073,7,2.2
3.7,,9.15,20.6,61.25,70.99,16.5,35.6,144.5,0.026,0.019,0.512,1.517,16.44,8.532,6,3.5
3.5,,9.03,20.1,67.5,81.91,9.2,33.1,158.3,0.027,0.015,0.643,1.468,18.264,8.28,8.5,3.9
3.6,,9.34,20.4,70,65.53,14.6,10.6,138,0.018,0.009,0.547,1.37,17.688,7.5,11,2.9
3.2,,9.63,20.3,66.25,54.61,10.5,20.7,176,0.019,0.024,0.588,1.411,15.324,7.572,6.5,3
3.8,,8.91,20.5,76.25,76.45,5.5,15.4,168.9,0.014,0.021,0.541,1.471,16.092,7.584,6,3.5
3.4,,8.98,20.3,76.25,54.61,14.4,13.2,161.6,0.017,0.038,0.526,1.388,17.976,7.62,10,3.1
3.7,,8.42,20.5,92.5,125.6,8.2,12.1,186.1,0.024,0.024,0.553,1.597,19.14,7.764,10,2.8
3.2,,8.47,20.1,92.5,65.53,1.4,20.8,203.9,0.026,0.032,0.682,1.588,17.364,8.004,7,2.9
3.1,,8.49,19.8,82.5,81.91,8.9,9.3,241,0.021,0.038,0.562,1.724,16.656,8.136,6,2.2
4.4,,9.96,16.2,98.75,42.59,23.3,7,167,0.058,0.015,0.248,1.428,18.408,7.8,7.7,3.4
4.3,,9.86,16.4,95,45.05,24.2,12.5,207.1,0.06,0.02,0.276,1.624,17.121,7.332,7.3,3.4
3.7,,9.86,16.2,112.5,49.15,9.7,21.4,217.4,0.04,0.052,0.838,1.556,21.3005,7.6705,7,3.1
4.5,,9.93,16.3,117.5,36.86,23.9,30.3,245.7,0.033,0.029,0.406,1.649,20.0825,7.018,8.5,3.2
4.6,,10.02,16.2,115,40.96,31.4,32.4,101.6,0.024,0.024,0.549,1.073,18.502,7.0905,10.2,3.3
4.5,,9.93,16.3,113.75,40.96,7.1,20.6,250.9,0.021,0.032,0.482,1.347,18.821,7.0615,9.5,3.4
4.2,,10.3,16,102.5,49.15,19.5,58.8,175.4,0.027,0.048,0.572,1.027,19.546,7.105,10.5,3.3
4.1,,10.1,16,120,61.43,14.9,9,259.5,0.034,0.028,0.682,1.432,20.2565,7.2065,11.5,2.2
