Salinity_W,O2_W,Watertemp_W,SS_W,chla_W,SRP_W,DOP_W,TP_W,NH4N_W,NO3N_W,DON_W,TN_W,TOC_W,DOC_W,Windspeed_W,Depth_W
3.85,9.95,12.6,88,38.23,21.7,21.5,235.7,0.03,0.074,0.62,1.735,22.1,9.89,3,3.4
2.1,11.87,11.4,34,39.32,1.1,10.3,104.9,0.028,0.026,0.3,1.105,12.59,6.5,8,3.4
2,12.33,11.7,61,49.15,4.5,5.3,113,0.037,0.025,0.449,1.319,15.28,7.1,7,2.8
1.8,12.18,12,78,47.1,6.7,1.2,188.2,0.022,0.03,0.53,1.073,15.23,7.34,8,2.8
2.6,12.28,11.3,40,43,5.7,8.1,89.4,0.02,0.023,0.483,1.024,11.634,7.6125,7,3.1
2.3,11.89,11.3,43,40.96,7.5,9,166.7,0.025,0.022,0.429,1.012,14.2275,7.9485,5,1.8
2.6,12.6,11.6,34,32.76,2.2,4.9,83,0.028,0.033,0.496,1.119,12.2325,7.7805,6,3.4
2.2,11.2,17.8,127.5,36.04,8.2,61.8,128,0.031,0.038,0.724,0.847,15.93,7.87,5.3,3.3
1.8,11.2,18.1,111.25,32.76,12,35.2,141.3,0.037,0.036,0.295,1.047,17.56,8.29,7.9,2.8
1.5,10.99,18.2,113.75,36.04,13.5,26.3,136.1,0.023,0.03,0.025,0.157,18.35,8.62,7.8,2.7
2.4,11.11,17.8,90,39.32,20.1,13.3,144.2,0.027,0.047,0.495,0.619,16,7.3,6.7,3.1
1.8,10.88,17.1,120,39.32,12.7,23.4,167.5,0.015,0.035,0.427,0.955,17.18,8.4,4.9,1.9
2.6,10.96,17.5,156.25,39.32,12.8,16.3,108,0.047,0.041,0.514,1.094,14.28,7.27,6.8,3.4
3.6,10.62,16.9,117.5,131.05,41,8.9,190.9,0.106,0.015,0.554,0.984,16.02,6.48,2.5,3.5
3.2,10.74,16.9,126.25,13.11,31.2,5.8,209.6,0.01,0.019,0.728,1.424,18.14,7.4081,3,2.7
2.4,10.69,16.8,132.5,30.58,23,12.3,170.8,0.035,0.02,0.71,1.606,19.95,7.714,5,2.9
2.2,11.33,17.2,108.75,43.69,19.8,3.5,146.7,0.01,0.026,0.704,1.156,18.0776,8.142,5,3.3
1.4,9.79,16.5,142.5,17.47,28.7,6.5,286.3,0.019,0.026,0.743,1.917,21.83,7.965,6,2
3.3,10.71,17.1,102.5,131.06,21.7,1.8,158.1,0.02,0.024,0.365,1.115,16.3194,6.8912,4.5,3.4
3.7,10,20.4,71.3,62.25,10.9,1.5,221.5,0.053,0.07,0.613,1.513,17.273,8.268,3.5,3.5
3.4,9.68,20.5,81.3,32.76,7,23.7,209.9,0.025,0.04,0.616,1.083,15.5595,8.064,3,2.9
1.8,10.35,20.2,65,3.28,18.2,12.4,188.5,0.014,0.057,0.578,1.263,16.445,8.592,6,2.9
3.3,9.68,20.4,70,9.83,13,9,180.9,0.024,0.034,0.67,1.342,15.16,7.93,5,3.3
3.2,9.31,19.7,193.8,52.42,4,34.2,245.4,0.015,0.05,0.649,1.915,16.768,8.346,8,1.8
3.6,9.54,20.4,93.8,42.59,8.2,6.2,206.1,0.013,0.065,0.51,1.471,17.024,7.891,5,3.6
3.1,9.36,20.3,80,70.99,1.6,17.6,154.5,0.019,0.018,0.757,1.761,16.26,8.28,9,3
2.3,9.3,19.8,80,92.83,41.8,59.6,229.7,0.011,0.023,0.77,1.951,19.236,9.6,5,2.4
2.5,8.49,20,103.75,92.83,4.4,41.2,219.9,0.018,0.023,0.85,2.12,18.84,9.144,10,2
3.2,8.5,20.1,71.25,141.98,11.7,14.1,172.5,0.013,0.029,0.652,1.563,17.424,7.692,6.5,1.7
3.3,9.94,20.3,88.75,81.91,6.5,43.7,130.4,0.011,0.027,0.756,1.565,17.112,7.56,9,3.4
4.3,9.79,16.4,113.75,57.34,18.1,5.2,173.3,0.048,0.018,0.519,1.622,19.708,7.41,6.7,3.2
3.9,9.8,16.4,112.5,49.15,26.1,4.6,174.1,0.037,0.029,0.706,1.705,18.421,8.099,7.6,2.6
3.3,9.82,16.1,93.75,36.86,21.7,36.8,183.5,0.035,0.026,0.877,1.909,20.67,8.619,8.2,2.4
3.1,10.58,16.1,103.75,57.34,50.2,19.2,205.5,0.032,0.029,0.835,1.878,19.0965,8.2215,11,1.8
4.2,9.9,16.3,111.25,57.34,14.3,5.6,161,0.033,0.05,0.698,1.924,19.082,7.25,7.9,3.3
